config,filters,kernels,dropout,lr,weight_decay,batch_size,test_run,accuracy,macro_f1,best_epoch
32-64-128 | k=7-5-3 | d=0.3 | lr=5e-4,"[32, 64, 128]","[7, 5, 3]",0.3,0.0005,0.0001,64,log_20260309_141435.414_partA,0.875,0.8856742895761519,71
32-64-128 | k=7-5-3 | d=0.3 | lr=5e-4,"[32, 64, 128]","[7, 5, 3]",0.3,0.0005,0.0001,64,log_20260309_141435.414_partB,0.8012048192771084,0.7426693902728777,45
32-64-128 | k=7-5-3 | d=0.3 | lr=5e-4,"[32, 64, 128]","[7, 5, 3]",0.3,0.0005,0.0001,64,log_20260326_120021.508,0.44482758620689655,0.6574548907882242,46
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,log_20260223_142511.490,0.6757679180887372,0.5870846024094459,31
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,log_20260226_102148.990,0.8620689655172413,0.8470168281489037,31
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,log_20260309_141435.414_partA,0.8870481927710844,0.8836967360124194,83
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,log_20260309_141435.414_partB,0.8358433734939759,0.7729744639707077,80
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,log_20260326_120021.508,0.44655172413793104,0.6640332177994819,64
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,log_20260223_142511.490,0.6655290102389079,0.5481744780963648,40
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,log_20260226_102148.990,0.9103448275862069,0.9045802754163293,44
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,log_20260309_141435.414_partA,0.8539156626506024,0.8553758897427898,67
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,log_20260309_141435.414_partB,0.8539156626506024,0.775938496916264,35
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,log_20260326_120021.508,0.44655172413793104,0.6595125039569484,65
