test_run,n_train,n_val,n_test,accuracy,macro_f1,best_epoch,early_stopped
log_20260223_142511.490,1745,308,293,0.6382252559726962,0.5671840980412344,56,True
log_20260226_102148.990,1870,331,145,0.896551724137931,0.8888751697740461,21,True
log_20260309_141435.414_partA,1429,253,664,0.9262048192771084,0.9307045766139139,54,True
log_20260309_141435.414_partB,1429,253,664,0.822289156626506,0.7406755392083871,26,True
log_20260326_120021.508,1501,265,580,0.44655172413793104,0.655497648993584,39,True
