model,imbalance,macro_f1_mean_A_3class_multispeed,macro_f1_std,worst_fold_macro_f1,robustness_score,macro_f1_mean_A_5class_multispeed,delta_macro_f1_3class_minus_5class
LogisticRegression,balanced,0.9671478646675435,0.029264141131313048,0.9276210975570877,0.952515794101887,0.7597035809765194,0.2074442836910242
LogisticRegression,unweighted,0.9632793590473063,0.030444001524303155,0.9231543678993335,0.9480573582851548,0.7543149637513042,0.20896439529600208
RandomForest,balanced,0.9520667867017767,0.03723092921421529,0.9051523075255133,0.9334513220946691,0.748730380821044,0.20333640588073265
RandomForest,unweighted,0.9600859247321565,0.033060909934532506,0.9203570433215527,0.9435554697648902,0.7570680196163925,0.203017905115764
SVM,balanced,0.9464031940017612,0.049214346233932275,0.894938344927081,0.9217960208847951,0.7274419941956053,0.21896119980615592
SVM,unweighted,0.9452588191429165,0.049186902962502166,0.8928981589245382,0.9206653676616654,0.7214290512071018,0.22382976793581477
XGBoost,balanced,0.9579900339268784,0.04015034161587607,0.9088644305373291,0.9379148631189403,0.7679308653789677,0.19005916854791072
XGBoost,unweighted,0.9559342119254477,0.04223524647614153,0.9042461908461804,0.9348165886873769,0.7556368304392218,0.2002973814862259
