feature_set,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
top_mi,0.7561909802325697,0.16646809144945954,0.8482758620689655,0.20064044574201234,0.4586206896551724,0.7657786948292927,0.11858262920742711,0.8288032766359948,0.17680036984277692,0.5993496690279875,0.7064873802255792,5.0
all,0.7473151970007841,0.16003560585734805,0.8298192771084337,0.20184320901352848,0.46379310344827585,0.7556861314325339,0.11180760822001604,0.7878333885148806,0.20728080240214075,0.5970224518611615,0.6997823273225259,5.0
all_no_speed,0.7353704354903432,0.1645845446767363,0.8569277108433735,0.22384370954454513,0.45517241379310347,0.7541175922489594,0.11355739401196384,0.7837192871921025,0.20249302469768704,0.5926615078661862,0.6973388952429774,5.0
