model,2026-02-23,2026-02-26,2026-03-09,2026-03-26
XGBoost,0.5785914416438295,0.8944193061840121,0.8520396371576828,0.6464249695834355
LogisticRegression,0.6263322696669503,0.8282386301964615,0.8548238871346605,0.6609102763734488
MLP,0.5993496690279875,0.831718510963794,0.8714535765168326,0.6549181411210171
CNN,0.5671840980412344,0.8888751697740461,0.8356900579111506,0.655497648993584
RandomForest,0.6093931226006698,0.8328999152145578,0.8487066635244848,0.6530383197049864
SVM,0.6359870978413696,0.8540668490260942,0.7518357495921715,0.6463932162514343
