test_run,n_features,selected_features
log_20260226_102148.990,25,gz_spectral_centroid|gz_bandpower_1_5Hz|ax_hjorth_complexity|gz_iqr|gx_bandpower_1_5Hz|gyro_mag_bandpower_1_5Hz|gx_spectral_energy|odom_speed_std|ay_hjorth_complexity|gyro_mag_spectral_energy|gyro_mag_iqr|gz_range|gx_iqr|ay_spectral_centroid|az_hjorth_complexity|ax_bandpower_1_5Hz|gx_spectral_centroid|gx_hjorth_complexity|gz_energy|gz_min|gyro_mag_energy_over_speed|ax_spectral_centroid|gx_range|gyro_mag_range|gx_min
log_20260309_141435.414_partA,25,gz_spectral_centroid|gz_bandpower_1_5Hz|ax_hjorth_complexity|gz_iqr|gyro_mag_spectral_energy|odom_speed_std|gx_spectral_energy|ay_hjorth_complexity|gx_bandpower_1_5Hz|gyro_mag_iqr|gyro_mag_bandpower_1_5Hz|gx_iqr|gx_hjorth_complexity|gz_range|gz_energy|ax_bandpower_1_5Hz|ay_spectral_centroid|gx_spectral_centroid|gyro_mag_energy_over_speed|az_hjorth_complexity|ax_spectral_centroid|gz_min|gyro_mag_range|az_spectral_centroid|gyro_mag_spectral_centroid
log_20260309_141435.414_partB,25,gz_spectral_centroid|ax_hjorth_complexity|gz_bandpower_1_5Hz|gz_iqr|odom_speed_std|gx_bandpower_1_5Hz|gx_spectral_energy|ax_spectral_centroid|gyro_mag_iqr|gx_iqr|gyro_mag_bandpower_1_5Hz|gyro_mag_spectral_energy|gz_energy|ax_bandpower_1_5Hz|gz_range|gz_min|az_hjorth_complexity|gyro_mag_range|gz_zero_crossing_rate|ax_energy|ay_spectral_centroid|gx_min|az_spectral_centroid|gx_range|ay_hjorth_complexity
log_20260326_120021.508,25,gz_spectral_centroid|gz_bandpower_1_5Hz|ax_hjorth_complexity|ay_hjorth_complexity|gx_spectral_energy|gz_iqr|gx_bandpower_1_5Hz|gyro_mag_spectral_energy|gx_iqr|gyro_mag_iqr|gx_spectral_centroid|gyro_mag_bandpower_1_5Hz|odom_speed_std|gz_range|az_hjorth_complexity|gx_hjorth_complexity|ay_spectral_centroid|gyro_mag_energy_over_speed|gz_min|ax_bandpower_1_5Hz|gz_energy|gx_range|gx_spectral_entropy|gyro_mag_range|ax_spectral_centroid
