Condition,Mode,n_features,F1 mean,F1 CI95 margin,Delta F1,Worst fold F1
All features (baseline),baseline,121,0.8558170631662767,0.42569520465289135,0.0,0.45469899126376073
Accelerometer — test-time zero,test-time zero,121,0.84889433444984,0.4155253233190933,-0.006922728716436732,0.4578655170274797
Accelerometer — full ablation,train+test remove,65,0.8544424565062573,0.41752479255443975,-0.0013746066600194284,0.46118292205248723
Gyroscope — test-time zero,test-time zero,121,0.2394956729334527,0.37130474438080674,-0.616321390232824,0.0
Gyroscope — full ablation,train+test remove,67,0.8416544153927299,0.4357842306966373,-0.01416264777354681,0.43207075860476074
Odometry — test-time zero,test-time zero,121,0.853638188219423,0.4271478872236955,-0.0021788749468536484,0.451187174867923
Odometry — full ablation,train+test remove,118,0.8573849606154973,0.4234188176145451,0.00156789744922059,0.45840776699029123
