config,hidden_dims,dropout,lr,weight_decay,macro_f1_mean,macro_f1_std,macro_f1_median,worst_fold_macro_f1,robustness_score,accuracy_mean,evaluable_folds
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,0.7822721421167891,0.12494098534146605,0.8395696842644306,0.6141568937813272,0.7198016494460561,0.7579674541404409,5.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,0.7664538019993807,0.10656827366503091,0.8152850867895935,0.628090106350976,0.7131696651668653,0.7346932510552981,5.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,0.7673546108940975,0.10890444244202,0.8311258135327393,0.6227724619028967,0.7129023896730875,0.7458627708432884,5.0
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,0.7564856690892762,0.1057024214093297,0.7959435626102292,0.6044582760367664,0.7036344583846114,0.7393546694722872,5.0
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,0.7533729570769903,0.10007796402384386,0.7955967987713265,0.6204256669877736,0.7033339750650683,0.7356965888740321,5.0
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,0.7505991770589204,0.10470483043261888,0.7912261401664531,0.6052536076173013,0.698246761842611,0.7423513401611624,5.0
