Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,folds_evaluated,Flag,Confound
cobblestone,0.45,0.45,0.014150943396226415,0.014150943396226415,0.027439024390243903,0.027439024390243903,2,WARN,speed C
dry_dirt_track,0.9654764544984106,0.02835070599541656,0.7092236257033802,0.08519261795144217,0.8132783882783883,0.04661172161172161,2,WARN,
grass,0.8398187520801634,0.1325418802572616,0.9028744974190894,0.057878097765809246,0.865432502653624,0.08499052841137156,5,,
muddy_dirt_track,0.8948717948717949,0.028205128205128216,0.326526130873957,0.1952129995608256,0.4473684210526315,0.21929824561403508,2,WARN,
smooth_terrain,0.9425653005935277,0.052718646523474,0.8870993284393375,0.10096830194950815,0.9089917609421097,0.05260447244564431,5,,
