Model,Feature set,Macro F1 mean,Macro F1 std,Worst fold F1,Robustness score,Accuracy mean
09 MLP HP-tuned,all,0.7822721421167891,0.12494098534146605,0.6141568937813272,0.7198016494460561,0.7579674541404409
07 Baseline  [LogisticRegression,top_mi,0.7751598348718551,0.1219829508118112,0.6256972851256731,0.7141683594659496,0.7415814936809731
08 Tuned  [LogisticRegression,all,0.7650257901012363,0.1090437487593081,0.6263322696669503,0.7105039157215822,0.7407397862604944
09 MLP baseline,top_mi,0.7657786948292927,0.11858262920742711,0.5993496690279875,0.7064873802255792,0.7561909802325697
07 Baseline  [XGBoost,all,0.7679308653789677,0.1276874981656652,0.5776278019674246,0.7040871162961351,0.7390667294339178
08 Tuned  [XGBoost,top_mi,0.7647029983453286,0.1283940119523317,0.5785914416438295,0.7005059923691628,0.7228315663501362
09 MLP baseline,all,0.7556861314325339,0.11180760822001604,0.5970224518611615,0.6997823273225259,0.7473151970007841
09 MLP baseline,all_no_speed,0.7541175922489594,0.11355739401196384,0.5926615078661862,0.6973388952429774,0.7353704354903432
