model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
LogisticRegression,all_no_speed,unweighted,log_20260326_120021.508,262,120,0.9809160305343512,0.9884326018808778,None
LogisticRegression,all_no_speed,balanced,log_20260326_120021.508,262,120,0.9809160305343512,0.9884326018808778,None
RandomForest,all_no_speed,unweighted,log_20260326_120021.508,262,120,0.9885496183206107,0.9925373134328358,None
RandomForest,all_no_speed,balanced,log_20260326_120021.508,262,120,0.9885496183206107,0.9925373134328358,None
XGBoost,all_no_speed,unweighted,log_20260326_120021.508,262,120,0.9885496183206107,0.9925373134328358,None
XGBoost,all_no_speed,balanced,log_20260326_120021.508,262,120,0.9923664122137404,0.995049504950495,None
SVM,all_no_speed,unweighted,log_20260326_120021.508,262,120,0.9809160305343512,0.9884326018808778,None
SVM,all_no_speed,balanced,log_20260326_120021.508,262,120,0.9847328244274809,0.9909699153137135,None
LogisticRegression,top_mi,unweighted,log_20260226_102148.990,99,25,0.98989898989899,0.9942528735632183,None
LogisticRegression,top_mi,balanced,log_20260226_102148.990,99,25,0.98989898989899,0.9942528735632183,None
RandomForest,top_mi,unweighted,log_20260226_102148.990,99,25,0.9696969696969697,0.985981308411215,None
RandomForest,top_mi,balanced,log_20260226_102148.990,99,25,0.9696969696969697,0.985981308411215,None
XGBoost,top_mi,unweighted,log_20260226_102148.990,99,25,1.0,1.0,None
XGBoost,top_mi,balanced,log_20260226_102148.990,99,25,1.0,1.0,None
SVM,top_mi,unweighted,log_20260226_102148.990,99,25,1.0,1.0,None
SVM,top_mi,balanced,log_20260226_102148.990,99,25,1.0,1.0,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.9593373493975904,0.9428484073998877,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.963855421686747,0.9517223589103142,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.9322289156626506,0.9080640970836132,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.9367469879518072,0.9143555462599481,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.9096385542168675,0.8810341674419345,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.927710843373494,0.9021594453384191,None
SVM,top_mi,unweighted,log_20260309_141435.414_partA,664,25,0.9518072289156626,0.9350115207790749,None
SVM,top_mi,balanced,log_20260309_141435.414_partA,664,25,0.9683734939759037,0.9581288455613052,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partB,627,25,0.9665071770334929,0.9604971695576561,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partB,627,25,0.9665071770334929,0.9604971695576561,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partB,627,25,0.9537480063795853,0.9413256310705966,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partB,627,25,0.9521531100478469,0.9410692621218937,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partB,627,25,0.9457735247208932,0.9295141009729138,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partB,627,25,0.9441786283891547,0.9270770419538151,None
SVM,top_mi,unweighted,log_20260309_141435.414_partB,627,25,0.9633173843700159,0.9555269652279205,None
SVM,top_mi,balanced,log_20260309_141435.414_partB,627,25,0.9633173843700159,0.9555269652279205,None
LogisticRegression,top_mi,unweighted,log_20260326_120021.508,262,25,0.9770992366412213,0.985367148702252,None
LogisticRegression,top_mi,balanced,log_20260326_120021.508,262,25,0.9847328244274809,0.9894661833503733,None
RandomForest,top_mi,unweighted,log_20260326_120021.508,262,25,0.9885496183206107,0.9925373134328358,None
RandomForest,top_mi,balanced,log_20260326_120021.508,262,25,0.9847328244274809,0.99,None
XGBoost,top_mi,unweighted,log_20260326_120021.508,262,25,0.9923664122137404,0.995049504950495,None
XGBoost,top_mi,balanced,log_20260326_120021.508,262,25,0.9923664122137404,0.995049504950495,None
SVM,top_mi,unweighted,log_20260326_120021.508,262,25,0.9770992366412213,0.9878054522340975,None
SVM,top_mi,balanced,log_20260326_120021.508,262,25,0.9770992366412213,0.9878054522340975,None
