test_run,n_train,n_val,n_test,accuracy,macro_f1,best_epoch,early_stopped
log_20260226_102148.990,1320,233,99,1.0,1.0,63,True
log_20260309_141435.414_partA,839,149,664,0.9307228915662651,0.902403040760715,51,True
log_20260309_141435.414_partB,871,154,627,0.9330143540669856,0.9142201306509475,44,True
log_20260326_120021.508,1181,209,262,0.9847328244274809,0.9919048508624447,51,True
