Model,Config_Farm,F1_Farm,CI95_Farm,Std_Farm,WorstFold_Farm,Config_Campus,F1_Campus,CI95_Campus,Std_Campus,WorstFold_Campus,Config_CampusB,F1_CampusB,CI95_CampusB,Std_CampusB,WorstFold_CampusB,Delta_FvC,Delta_FvCB
SVM,"all, unweighted",0.8656399272038827,0.0752120853601026,0.0605736217438108,0.8125123195053524,"top_mi, balanced",0.7280237324606482,0.1335048873750394,0.1075209457374719,0.6359870978413696,"top_mi, balanced",0.9855880912107416,0.0302326385263527,0.0189996220681923,0.9571074673098112,0.1376161947432345,-0.11994816400685893
LogisticRegression,"all, unweighted",0.8654452674322812,0.0836932254688443,0.0674040848328678,0.7859161237083699,"all, balanced",0.7650257901012363,0.1513769912475995,0.1219146173736107,0.6263322696669503,"top_mi, balanced",0.9844556377516064,0.0196986883795781,0.0123795888382299,0.9660643775034918,0.10041947733104495,-0.11901037031932515
XGBoost,"all, balanced",0.8609431641492463,0.0604536421479802,0.0486876016663402,0.8234072119455752,"top_mi, balanced",0.7647029983453286,0.1782394630108791,0.143548869314667,0.5785914416438295,"top_mi, unweighted",0.9816245466400862,0.0234126141839393,0.0147135957298435,0.9606575529227672,0.0962401658039177,-0.12068138249083993
CNN,raw signal (5 ch),0.8492892566027515,0.1003030933192873,0.0807811883604497,0.7212665464817841,raw signal (5 ch),0.7565874065262331,0.1905082255057803,0.1534297730959232,0.5671840980412344,raw signal (5 ch),0.9521320055685268,0.0810509383411894,0.0509362487634894,0.902403040760715,0.09270185007651832,-0.10284274896577539
MLP,all,0.8399803431828197,0.088132917282962,0.0709796832399572,0.7463134412849782,top_mi,0.7657786948292927,0.1646190802122229,0.1325794099292295,0.5993496690279875,top_mi,0.9654499547306186,0.0584869909196374,0.0367559954256154,0.9121608270583624,0.07420164835352694,-0.1254696115477989
RandomForest,"all, unweighted",0.8395996220564932,0.0587943870911417,0.0473512859970135,0.7937262829747538,"all, unweighted",0.7585489369138367,0.152253016780738,0.1226201428091599,0.6093931226006698,"top_mi, unweighted",0.982910433067144,0.0326980696071983,0.0205490157385598,0.9522782843802844,0.08105068514265645,-0.1433108110106508
Dummy (stratified),-,0.3199522553560767,0.0127779236288294,0.0102909673207199,0.3050379251406219,—,0.2007739557161555,0.0314894150804041,0.0253606572518474,0.174307375194306,-,0.3470702796240295,0.2013622644319063,0.1265455848210802,0.2071022980005924,0.11917829963992119,-0.02711802426795279
Dummy (most_frequent),-,0.2079165795730971,0.0447142162128277,0.0360115266912086,0.1643410852713178,—,0.0465148595440882,0.0862558892236557,0.0694679795407103,0.0,-,0.0383386581469648,0.1220107209693434,0.0766773162939297,0.0,0.16140172002900888,0.1695779214261323
