location,model,macro_f1_mean,macro_f1_std,folds,chance_level
Campus,Dummy (most_frequent),0.024454875832828588,0.048909751665657177,4,0.2
Campus,Dummy (stratified),0.17627943849417627,0.036170485933747644,4,0.2
Campus_dataset_B_3class,Dummy (most_frequent),0.038338658146964855,0.07667731629392971,4,0.3333333333333333
Campus_dataset_B_3class,Dummy (stratified),0.3470702796240295,0.1265455848210802,4,0.3333333333333333
Farm,Dummy (most_frequent),0.20791657957309712,0.03601152669120866,5,0.3333333333333333
Farm,Dummy (stratified),0.3199522553560768,0.01029096732071995,5,0.3333333333333333
