sigma,macro_f1_mean,macro_f1_std,macro_f1_min,location
0.0,0.842228101083415,0.0540809693928719,0.7921291671291673,Farm
0.1,0.838374674515047,0.0535464667093717,0.7861305656505705,Farm
0.2,0.8340982132851062,0.0525153395501849,0.7888663845422326,Farm
0.3,0.8307884585670722,0.0543371042607393,0.7781814941185068,Farm
0.4,0.8241248951666147,0.0575228033259719,0.767709191754919,Farm
0.5,0.8153094542029518,0.0585647568996411,0.7523317607494371,Farm
0.6,0.8068844292890152,0.0630846464196327,0.7416537976991832,Farm
0.7,0.7933523396338794,0.0651708744782402,0.7305409409316032,Farm
0.8,0.779901583636023,0.0681657574216338,0.7128986959692373,Farm
0.9,0.7648607529929163,0.0729091445765411,0.693524230733055,Farm
1.0,0.7515549767347269,0.076095480674186,0.6808849071324086,Farm
1.1,0.7369858156704778,0.0815757792021911,0.6636227148140909,Farm
1.2,0.7192684744472635,0.0850856214499175,0.6407808638390693,Farm
1.3,0.7005156025027856,0.083136955513455,0.6233254658926469,Farm
1.4,0.6834372124388091,0.0835542785892463,0.6070116083719144,Farm
1.5,0.6648825074751585,0.0826748828944117,0.5924166572455818,Farm
1.6,0.6476868426408553,0.0799428838825092,0.5766972800534841,Farm
1.7,0.6338454381594352,0.0746721383556909,0.5663708088374639,Farm
1.8,0.6187291588212568,0.0737852607705027,0.5515246480122574,Farm
1.9,0.6035801108389233,0.0706942880305954,0.5376413388578164,Farm
2.0,0.59052419289734,0.0677669479240677,0.52353058291985,Farm
0.0,0.7490541364491311,0.1180370941128529,0.6094994207670263,Campus
0.1,0.7273944752456754,0.1138049716274763,0.5920688012902863,Campus
0.2,0.7031193868362448,0.1192287212437872,0.556799617430524,Campus
0.3,0.6826320974533707,0.122539107612722,0.5334673812247963,Campus
0.4,0.6590985703076062,0.1257820889418954,0.5116224967477663,Campus
0.5,0.6377893784556885,0.1271564861363874,0.4965542227042938,Campus
0.6,0.6176845704464682,0.128559330605441,0.4744327371606663,Campus
0.7,0.5983139214312981,0.1315899549575732,0.4495186558878294,Campus
0.8,0.57887100658094,0.132020462188333,0.4254111331007393,Campus
0.9,0.5607687219427153,0.1344604047410813,0.4023166875877987,Campus
1.0,0.5397652475035922,0.1382199048311639,0.3784532987947622,Campus
1.1,0.5247153626330918,0.137926270904363,0.3635413261790297,Campus
1.2,0.5051994675961731,0.1389762558017029,0.3437154365637004,Campus
1.3,0.4875580110516829,0.1399626455645642,0.3263164945900657,Campus
1.4,0.4713727688750811,0.1396193722059803,0.3131402941487612,Campus
1.5,0.4564900625051329,0.1351120043577241,0.3027741716489529,Campus
1.6,0.439997755908839,0.1329541958012698,0.2902345339448908,Campus
1.7,0.4248541387951065,0.1321990129293414,0.2745067897664618,Campus
1.8,0.4121984348791818,0.1318924329506838,0.26771225554947,Campus
1.9,0.399433612462338,0.1315939333133743,0.2556362996576315,Campus
2.0,0.3860578617717277,0.1315096179143576,0.2482273410878512,Campus
0.0,0.8558170631662769,0.2675270303515406,0.4546989912637607,Campus_dataset_B_3class
0.1,0.8510416417796678,0.2644629741757957,0.4550439971188122,Campus_dataset_B_3class
0.2,0.8450652244110375,0.2616984002174882,0.4544219590421975,Campus_dataset_B_3class
0.3,0.8323351461603702,0.2557994169157221,0.4539807272079593,Campus_dataset_B_3class
0.4,0.8169523260410677,0.2481020231125223,0.4546246859016268,Campus_dataset_B_3class
0.5,0.793161111712105,0.2405204430586371,0.4515955887121211,Campus_dataset_B_3class
0.6,0.7738946995153138,0.2354264777876387,0.4490849007454594,Campus_dataset_B_3class
0.7,0.7550401922931421,0.2309983268060751,0.445789796416202,Campus_dataset_B_3class
0.8,0.7324568807348137,0.2299785499064064,0.4417950638984683,Campus_dataset_B_3class
0.9,0.7099763719827346,0.2296828781125314,0.4379260117491336,Campus_dataset_B_3class
1.0,0.6893767246776951,0.2322983561132779,0.4327437348205762,Campus_dataset_B_3class
1.1,0.6662921596232173,0.2302596648348435,0.4265998138404278,Campus_dataset_B_3class
1.2,0.6448472328319295,0.2275095820373201,0.4204300170072708,Campus_dataset_B_3class
1.3,0.6182924260975924,0.223984462393659,0.4141544203900613,Campus_dataset_B_3class
1.4,0.5963033170410958,0.2235627089734676,0.4085510708300943,Campus_dataset_B_3class
1.5,0.5780617467667993,0.2203115436939171,0.4039607662968343,Campus_dataset_B_3class
1.6,0.5542943486833094,0.2170961121250342,0.3986091608659109,Campus_dataset_B_3class
1.7,0.5292663759415422,0.2092015381153982,0.3920855112502459,Campus_dataset_B_3class
1.8,0.5068362660814606,0.2062954724451001,0.3863342261354707,Campus_dataset_B_3class
1.9,0.4872864408364873,0.1988251649849856,0.3704242513384976,Campus_dataset_B_3class
2.0,0.469904591332219,0.1896151613382548,0.3554274623378044,Campus_dataset_B_3class
