Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag
dry_dirt_track,0.8949128285193859,0.06540463179807443,0.9509699759965372,0.029650179042222446,0.9195855842590122,0.02082892351300858,0.9195855842590122,0.8987566607460036,0.9404145077720207,2,WARN
grass,0.9164146620847651,0.1422196255970079,0.9574240986717268,0.03509214202069446,0.9300248230307238,0.0842995137968489,0.9661102521220535,0.7878787878787878,1.0,4,
smooth_terrain,0.9870452190039819,0.016890626594898157,0.9220219038949349,0.09324584278917268,0.9516494880166255,0.059363511324515394,0.9766934714460951,0.8532110091743119,1.0,4,
