feature_set,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
all,0.7274294400149733,0.15447354887707276,0.7862068965517242,0.20083576627328426,0.45689655172413796,0.7176372555184871,0.10277988410943212,0.7310208410751889,0.09780866468843197,0.5783226723525231,0.6662473134637711,5.0
all_no_speed,0.7198461257055998,0.16004685123148976,0.8275862068965517,0.21880011513631326,0.4482758620689655,0.7330464102209313,0.11075429038651156,0.7581414824818127,0.14711905123084978,0.5688289664655106,0.6776692650276755,5.0
top_mi,0.7259757377160756,0.172193061765676,0.8433734939759037,0.2472089724084049,0.4482758620689655,0.7408842195147876,0.13607019973485524,0.7567376482495803,0.2397079368590901,0.5381256700622611,0.6728491196473599,5.0
