Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag,Confound
cobblestone,0.717741935483871,0.28225806451612906,0.38687744348121705,0.34285228624851266,0.31489594742606786,0.23055859802847753,0.31489594742606786,0.08433734939759036,0.5454545454545454,2,WARN,⚡ speed
dry_dirt_track,0.9552867817704216,0.021658463186350785,0.8391177743674497,0.021288317003108626,0.8934402917656505,0.02153946531936962,0.8934402917656505,0.871900826446281,0.9149797570850202,2,WARN,
grass,0.7890574293522232,0.19556762838234854,0.9486184277455625,0.024901468407679563,0.84679687948222,0.12656063968873263,0.8671328671328671,0.6329113924050633,0.9818913480885312,5,,
muddy_dirt_track,0.9142857142857144,0.01428571428571429,0.32806324110671936,0.23715415019762842,0.4339201586908009,0.2687825440119018,0.4339201586908009,0.1651376146788991,0.7027027027027027,2,WARN,
smooth_terrain,0.9528054493082119,0.04969011882967577,0.9675043981670894,0.03712744285536167,0.9593973011798494,0.03652989889377124,0.9601990049751243,0.9159663865546218,1.0,5,,
