model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
RandomForest,all_no_speed,unweighted,log_20260223_142511.490,293,118,0.5836177474402731,0.5772657450076805,None
RandomForest,all_no_speed,balanced,log_20260223_142511.490,293,118,0.6006825938566553,0.5874967581420089,None
XGBoost,all_no_speed,unweighted,log_20260223_142511.490,293,118,0.45733788395904434,0.5002012111222761,None
XGBoost,all_no_speed,balanced,log_20260223_142511.490,293,118,0.46075085324232085,0.49912675229130926,None
LogisticRegression,all_no_speed,unweighted,log_20260226_102148.990,145,118,0.8413793103448276,0.8289657582110412,None
LogisticRegression,all_no_speed,balanced,log_20260226_102148.990,145,118,0.8689655172413793,0.8611947791164658,None
RandomForest,all_no_speed,unweighted,log_20260226_102148.990,145,118,0.8206896551724138,0.8146413362567011,None
RandomForest,all_no_speed,balanced,log_20260226_102148.990,145,118,0.7724137931034483,0.7609339352458618,None
XGBoost,all_no_speed,unweighted,log_20260226_102148.990,145,118,0.8413793103448276,0.8233260786070925,None
XGBoost,all_no_speed,balanced,log_20260226_102148.990,145,118,0.8620689655172413,0.8481781376518218,None
LogisticRegression,all_no_speed,unweighted,log_20260309_141435.414_partA,664,118,0.875,0.9168349983029236,None
LogisticRegression,all_no_speed,balanced,log_20260309_141435.414_partA,664,118,0.8704819277108434,0.9156402060396571,None
RandomForest,all_no_speed,unweighted,log_20260309_141435.414_partA,664,118,0.8554216867469879,0.8909068017007357,None
RandomForest,all_no_speed,balanced,log_20260309_141435.414_partA,664,118,0.8569277108433735,0.8857311236544617,None
XGBoost,all_no_speed,unweighted,log_20260309_141435.414_partA,664,118,0.8704819277108434,0.9092869246878648,None
XGBoost,all_no_speed,balanced,log_20260309_141435.414_partA,664,118,0.8644578313253012,0.9126269551801466,None
LogisticRegression,all_no_speed,unweighted,log_20260309_141435.414_partB,664,118,0.8343373493975904,0.7592103770872922,None
LogisticRegression,all_no_speed,balanced,log_20260309_141435.414_partB,664,118,0.8283132530120482,0.7540179658235213,None
RandomForest,all_no_speed,unweighted,log_20260309_141435.414_partB,664,118,0.8719879518072289,0.8000562537018094,None
RandomForest,all_no_speed,balanced,log_20260309_141435.414_partB,664,118,0.8704819277108434,0.7924928695393693,None
XGBoost,all_no_speed,unweighted,log_20260309_141435.414_partB,664,118,0.8870481927710844,0.8355721586091391,None
XGBoost,all_no_speed,balanced,log_20260309_141435.414_partB,664,118,0.8765060240963856,0.8262712757345014,None
LogisticRegression,all_no_speed,unweighted,log_20260326_120021.508,580,118,0.44310344827586207,0.6578199174406604,None
LogisticRegression,all_no_speed,balanced,log_20260326_120021.508,580,118,0.44655172413793104,0.6605888221383558,None
RandomForest,all_no_speed,unweighted,log_20260326_120021.508,580,118,0.453448275862069,0.6585889435276935,None
RandomForest,all_no_speed,balanced,log_20260326_120021.508,580,118,0.45517241379310347,0.6622446689113356,None
XGBoost,all_no_speed,unweighted,log_20260326_120021.508,580,118,0.4586206896551724,0.662699002632996,None
XGBoost,all_no_speed,balanced,log_20260326_120021.508,580,118,0.45689655172413796,0.6600651654126793,None
LogisticRegression,speed_only,unweighted,log_20260223_142511.490,293,2,0.10921501706484642,0.10457516339869281,None
LogisticRegression,speed_only,balanced,log_20260223_142511.490,293,2,0.2627986348122867,0.47475504244111466,None
RandomForest,speed_only,unweighted,log_20260223_142511.490,293,2,0.13993174061433447,0.27819950817919387,None
RandomForest,speed_only,balanced,log_20260223_142511.490,293,2,0.13651877133105803,0.28547008547008546,None
XGBoost,speed_only,unweighted,log_20260223_142511.490,293,2,0.14675767918088736,0.21861813143892597,None
XGBoost,speed_only,balanced,log_20260223_142511.490,293,2,0.1296928327645051,0.1935421838529612,None
LogisticRegression,speed_only,unweighted,log_20260226_102148.990,145,2,0.0,0.0,None
LogisticRegression,speed_only,balanced,log_20260226_102148.990,145,2,0.30344827586206896,0.23466666666666666,None
RandomForest,speed_only,unweighted,log_20260226_102148.990,145,2,0.45517241379310347,0.4911858974358974,None
RandomForest,speed_only,balanced,log_20260226_102148.990,145,2,0.46206896551724136,0.4987179487179487,None
XGBoost,speed_only,unweighted,log_20260226_102148.990,145,2,0.46206896551724136,0.4915487421383648,None
XGBoost,speed_only,balanced,log_20260226_102148.990,145,2,0.503448275862069,0.5619738751814224,None
LogisticRegression,speed_only,unweighted,log_20260309_141435.414_partA,664,2,0.16415662650602408,0.17243795405096432,None
LogisticRegression,speed_only,balanced,log_20260309_141435.414_partA,664,2,0.16114457831325302,0.17207144094672058,None
RandomForest,speed_only,unweighted,log_20260309_141435.414_partA,664,2,0.5692771084337349,0.5896424524005549,None
RandomForest,speed_only,balanced,log_20260309_141435.414_partA,664,2,0.5617469879518072,0.584074300551423,None
XGBoost,speed_only,unweighted,log_20260309_141435.414_partA,664,2,0.536144578313253,0.5745470615980373,None
XGBoost,speed_only,balanced,log_20260309_141435.414_partA,664,2,0.5406626506024096,0.5875743441238858,None
LogisticRegression,speed_only,unweighted,log_20260309_141435.414_partB,664,2,0.3870481927710843,0.25457643092483334,None
LogisticRegression,speed_only,balanced,log_20260309_141435.414_partB,664,2,0.5195783132530121,0.3468591520724863,None
RandomForest,speed_only,unweighted,log_20260309_141435.414_partB,664,2,0.4713855421686747,0.40905915937803694,None
RandomForest,speed_only,balanced,log_20260309_141435.414_partB,664,2,0.47289156626506024,0.4093262652018488,None
XGBoost,speed_only,unweighted,log_20260309_141435.414_partB,664,2,0.4186746987951807,0.3770496278965334,None
XGBoost,speed_only,balanced,log_20260309_141435.414_partB,664,2,0.43373493975903615,0.39853530300576395,None
LogisticRegression,speed_only,unweighted,log_20260326_120021.508,580,2,0.10862068965517241,0.16091954022988506,None
LogisticRegression,speed_only,balanced,log_20260326_120021.508,580,2,0.29482758620689653,0.3169312701338845,None
RandomForest,speed_only,unweighted,log_20260326_120021.508,580,2,0.36724137931034484,0.41690541338054615,None
RandomForest,speed_only,balanced,log_20260326_120021.508,580,2,0.3689655172413793,0.4175267584097859,None
XGBoost,speed_only,unweighted,log_20260326_120021.508,580,2,0.38275862068965516,0.43096615593277815,None
XGBoost,speed_only,balanced,log_20260326_120021.508,580,2,0.38448275862068965,0.4225665897754382,None
