model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
SVM,all_no_speed,unweighted,log_20260309_141435.414_partB,482,118,0.946058091286307,0.9521689497716894,None
SVM,all_no_speed,balanced,log_20260309_141435.414_partB,482,118,0.950207468879668,0.9563794313794314,None
LogisticRegression,all_no_speed,unweighted,log_20260326_120021.508,196,118,0.9795918367346939,0.99,None
LogisticRegression,all_no_speed,balanced,log_20260326_120021.508,196,118,0.9846938775510204,0.9925373134328358,None
RandomForest,all_no_speed,unweighted,log_20260326_120021.508,196,118,0.9795918367346939,0.99,None
RandomForest,all_no_speed,balanced,log_20260326_120021.508,196,118,0.9744897959183674,0.9874371859296482,None
XGBoost,all_no_speed,unweighted,log_20260326_120021.508,196,118,0.9642857142857143,0.9822335025380711,None
XGBoost,all_no_speed,balanced,log_20260326_120021.508,196,118,0.9642857142857143,0.9822335025380711,None
SVM,all_no_speed,unweighted,log_20260326_120021.508,196,118,0.9795918367346939,0.99,None
SVM,all_no_speed,balanced,log_20260326_120021.508,196,118,0.9795918367346939,0.99,None
LogisticRegression,top_mi,unweighted,log_20260226_102148.990,99,25,0.9696969696969697,0.9837849370599531,None
LogisticRegression,top_mi,balanced,log_20260226_102148.990,99,25,0.9797979797979798,0.9883720930232558,None
RandomForest,top_mi,unweighted,log_20260226_102148.990,99,25,0.9797979797979798,0.9907407407407407,None
RandomForest,top_mi,balanced,log_20260226_102148.990,99,25,0.9494949494949495,0.9761904761904762,None
XGBoost,top_mi,unweighted,log_20260226_102148.990,99,25,0.9797979797979798,0.9907407407407407,None
XGBoost,top_mi,balanced,log_20260226_102148.990,99,25,0.9797979797979798,0.9907407407407407,None
SVM,top_mi,unweighted,log_20260226_102148.990,99,25,0.9494949494949495,0.9730936819172114,None
SVM,top_mi,balanced,log_20260226_102148.990,99,25,0.9797979797979798,0.9883720930232558,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partA,482,25,0.9543568464730291,0.9513171629851072,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partA,482,25,0.9626556016597511,0.9597503753753754,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partA,482,25,0.9585062240663901,0.9522782843802843,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partA,482,25,0.9543568464730291,0.9487294561667765,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partA,482,25,0.9585062240663901,0.9548224881407478,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partA,482,25,0.9626556016597511,0.9596994471220223,None
SVM,top_mi,unweighted,log_20260309_141435.414_partA,482,25,0.9564315352697096,0.9518109009634433,None
SVM,top_mi,balanced,log_20260309_141435.414_partA,482,25,0.9605809128630706,0.955347583652984,None
LogisticRegression,top_mi,unweighted,log_20260309_141435.414_partB,482,25,0.9813278008298755,0.9855946034163856,None
LogisticRegression,top_mi,balanced,log_20260309_141435.414_partB,482,25,0.983402489626556,0.9866003561655736,None
RandomForest,top_mi,unweighted,log_20260309_141435.414_partB,482,25,0.991701244813278,0.9949592393666024,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partB,482,25,0.991701244813278,0.9949592393666024,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partB,482,25,0.9937759336099585,0.9970414201183432,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partB,482,25,0.991701244813278,0.9949485297311385,None
SVM,top_mi,unweighted,log_20260309_141435.414_partB,482,25,0.991701244813278,0.9949485297311385,None
SVM,top_mi,balanced,log_20260309_141435.414_partB,482,25,0.991701244813278,0.9949485297311385,None
LogisticRegression,top_mi,unweighted,log_20260326_120021.508,196,25,0.9795918367346939,0.99,None
LogisticRegression,top_mi,balanced,log_20260326_120021.508,196,25,0.9795918367346939,0.99,None
RandomForest,top_mi,unweighted,log_20260326_120021.508,196,25,0.9693877551020408,0.9848484848484849,None
RandomForest,top_mi,balanced,log_20260326_120021.508,196,25,0.9642857142857143,0.9822335025380711,None
XGBoost,top_mi,unweighted,log_20260326_120021.508,196,25,0.9642857142857143,0.9822335025380711,None
XGBoost,top_mi,balanced,log_20260326_120021.508,196,25,0.9642857142857143,0.9822335025380711,None
SVM,top_mi,unweighted,log_20260326_120021.508,196,25,0.9846938775510204,0.9925373134328358,None
SVM,top_mi,balanced,log_20260326_120021.508,196,25,0.9846938775510204,0.9925373134328358,None
