Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag,Confound
cobbelstone,0.647887323943662,0.35211267605633806,0.2932177460479347,0.27434982151963283,0.21296296296296297,0.17592592592592593,0.21296296296296297,0.037037037037037035,0.3888888888888889,2,WARN,speed ⚡
dry_dirt_track,0.9390083096979649,0.042182912872568035,0.8351926179514422,0.040776374296619844,0.8821274372301515,0.004147072573770005,0.8821274372301515,0.8779803646563815,0.8862745098039215,2,WARN,
grass,0.8146385378020918,0.16421440101765988,0.9634566729917774,0.0331399132976635,0.8710849921464145,0.08916656584004311,0.8590604026845637,0.7323943661971831,0.98,5,,
muddy_dirt_track,1.0,0.0,0.30204216073781287,0.2414361001317523,0.40925553319919517,0.29496981891348084,0.40925553319919517,0.11428571428571428,0.704225352112676,2,WARN,
smooth_terrain,0.9580993813587952,0.02470920518206196,0.9373927392739274,0.06575225496188646,0.945730562552024,0.02912725207620844,0.9565217391304348,0.8878923766816144,0.9642857142857143,5,,
