model,feature_set,imbalance,test_run,n_test,accuracy,macro_f1,degenerate_classes
RandomForest,top_mi,unweighted,log_20260309_141435.414_partB,664,0.8599397590361446,0.7758678081764125,None
RandomForest,top_mi,balanced,log_20260309_141435.414_partB,664,0.8734939759036144,0.7934672056578955,None
XGBoost,top_mi,unweighted,log_20260309_141435.414_partB,664,0.8704819277108434,0.802595690599153,None
XGBoost,top_mi,balanced,log_20260309_141435.414_partB,664,0.8825301204819277,0.8227462042499168,None
SVM,top_mi,unweighted,log_20260309_141435.414_partB,664,0.7936746987951807,0.6520504408401973,None
SVM,top_mi,balanced,log_20260309_141435.414_partB,664,0.7575301204819277,0.6679076844196032,None
LogisticRegression,top_mi,unweighted,log_20260326_120021.508,580,0.43275862068965515,0.6341349810046933,None
LogisticRegression,top_mi,balanced,log_20260326_120021.508,580,0.43448275862068964,0.633173067160274,None
RandomForest,top_mi,unweighted,log_20260326_120021.508,580,0.4362068965517241,0.640713123086596,None
RandomForest,top_mi,balanced,log_20260326_120021.508,580,0.4362068965517241,0.6397483738624531,None
XGBoost,top_mi,unweighted,log_20260326_120021.508,580,0.44655172413793104,0.6449920580894033,None
XGBoost,top_mi,balanced,log_20260326_120021.508,580,0.4482758620689655,0.6464249695834355,None
SVM,top_mi,unweighted,log_20260326_120021.508,580,0.4396551724137931,0.6176706262739861,None
SVM,top_mi,balanced,log_20260326_120021.508,580,0.45517241379310347,0.6463932162514343,None
