Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,folds_evaluated,Flag,Confound
cobbelstone,0.6444444444444444,0.3555555555555556,0.3607853136155023,0.34191738908720043,0.2232429279673374,0.18620589093030038,2,WARN,speed C
dry_dirt_track,0.9400239369191776,0.03908054069276262,0.786398693582025,0.04608861606264514,0.8563143916177801,0.04354843417097165,2,WARN,
grass,0.8209587768590006,0.17573647628010328,0.919929627614637,0.03898605557612921,0.858479231906648,0.11568663926270434,5,,
muddy_dirt_track,0.8452380952380952,0.011904761904761862,0.38669301712779974,0.2654808959156785,0.4720483488020721,0.25965896827109863,2,WARN,
smooth_terrain,0.9583846098407285,0.025906366880490753,0.9469162175957855,0.061186751217417554,0.9516293533163516,0.03707302102449223,5,,
