Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,folds_evaluated,Flag,Confound
cobbelstone,0.6909090909090909,0.3090909090909091,0.29164541900390956,0.275922148563658,0.2437407457262081,0.21278099340422665,2,WARN,speed C
dry_dirt_track,0.9378845116028063,0.04376686454398271,0.8492208712076497,0.03450005902490849,0.8896594236400062,0.0007705347511173244,2,WARN,
grass,0.795290341842066,0.2011727674885493,0.9508093266632166,0.03429304057363657,0.8494952722854692,0.12874528071696165,5,,
muddy_dirt_track,0.9375,0.0625,0.3296003513394818,0.2790953008344313,0.40705128205128205,0.3108974358974359,2,WARN,
smooth_terrain,0.9672237799093496,0.0392922528774481,0.8900353996438604,0.13922365995272182,0.9191874825496139,0.07819992276140306,5,,
