model,imbalance,macro_f1_mean_B_3class,macro_f1_std,worst_fold_macro_f1,robustness_score,macro_f1_mean_A_all,delta_macro_f1_B_minus_A
LogisticRegression,balanced,0.9702392370227346,0.02061429650833656,0.9398349958334484,0.9599320887685664,0.7531373072257173,0.21710192979701737
LogisticRegression,unweighted,0.9683968806827468,0.021419355502621352,0.9349431081585925,0.957687202931436,0.7490154178508128,0.21938146283193394
RandomForest,balanced,0.977830005741325,0.01978893287350819,0.9439509247728427,0.9679355393045709,0.7454404783524002,0.2323895273889247
RandomForest,unweighted,0.9792132787816337,0.021443173432870846,0.9421617705342004,0.9684916920651983,0.7542373545521296,0.22497592422950408
XGBoost,balanced,0.978828538997886,0.013694313881384665,0.9556887608679502,0.9719813820571936,0.7462745834260774,0.23255395557180858
XGBoost,unweighted,0.9809701102498279,0.014337739802760053,0.9574844976257428,0.973801240348448,0.745842445275037,0.23512766497479098
