Model,Config,F1 mean,95% CI margin,F1 std,Worst fold F1,Folds
MLP,top_mi,0.7657786948292927,0.16461908021222293,0.1325794099292295,0.5993496690279875,5
LogisticRegression,"all, balanced",0.7650257901012363,0.15137699124759957,0.12191461737361071,0.6263322696669503,5
XGBoost,"top_mi, balanced",0.7647029983453286,0.17823946301087915,0.14354886931466707,0.5785914416438295,5
RandomForest,"all, unweighted",0.7585489369138367,0.15225301678073805,0.12262014280915993,0.6093931226006698,5
CNN,raw signal (5 ch),0.7565874065262331,0.19050822550578037,0.15342977309592323,0.5671840980412344,5
SVM,"top_mi, balanced",0.7280237324606482,0.13350488737503943,0.10752094573747199,0.6359870978413696,5
Dummy (stratified),—,0.2007739557161555,0.03148941508040418,0.025360657251847444,0.17430737519430609,5
Dummy (most_frequent),—,0.046514859544088294,0.08625588922365574,0.06946797954071038,0.0,5
