test_run,n_features,selected_features
log_20260223_142511.490,25,gx_bandpower_5_20Hz|gz_spectral_centroid|gx_jerk_rms|acc_mag_energy|gz_bandpower_1_5Hz|ay_energy|ay_jerk_rms|ay_hjorth_complexity|gx_bandpower_1_5Hz|gyro_mag_bandpower_5_20Hz|acc_mag_spectral_energy|gx_hjorth_complexity|gx_spectral_centroid|ax_energy|az_energy|az_hjorth_complexity|gyro_mag_spectral_energy|gz_range|gz_iqr|gx_range|gyro_mag_bandpower_1_5Hz|gx_iqr|gz_bandpower_5_20Hz|gyro_mag_spectral_centroid|gyro_mag_rms
log_20260226_102148.990,25,gx_jerk_rms|gz_spectral_centroid|gx_bandpower_5_20Hz|ay_jerk_rms|acc_mag_energy|ay_energy|gz_bandpower_1_5Hz|gx_bandpower_1_5Hz|gx_spectral_centroid|ay_hjorth_complexity|gyro_mag_bandpower_5_20Hz|acc_mag_spectral_energy|az_hjorth_complexity|gx_hjorth_complexity|gyro_mag_spectral_energy|gz_range|acc_mag_max|az_energy|gyro_mag_spectral_centroid|gyro_mag_rms|acc_mag_bandpower_20_40Hz|gyro_mag_bandpower_1_5Hz|gx_range|ax_energy|gz_iqr
log_20260309_141435.414_partA,25,gz_spectral_centroid|gx_jerk_rms|gx_bandpower_5_20Hz|acc_mag_energy|ay_jerk_rms|ay_energy|gz_bandpower_1_5Hz|gyro_mag_bandpower_5_20Hz|ay_hjorth_complexity|gx_spectral_centroid|acc_mag_spectral_energy|gx_hjorth_complexity|gyro_mag_spectral_centroid|gx_bandpower_1_5Hz|az_hjorth_complexity|acc_mag_max|gyro_mag_hjorth_complexity|gyro_mag_spectral_energy|ax_energy|gx_range|gz_range|az_range|gyro_mag_rms|az_energy|gz_bandpower_5_20Hz
log_20260309_141435.414_partB,25,gz_spectral_centroid|gx_jerk_rms|gx_bandpower_5_20Hz|gz_bandpower_1_5Hz|acc_mag_energy|ay_energy|gx_bandpower_1_5Hz|gx_range|gz_range|gyro_mag_spectral_energy|ay_jerk_rms|gyro_mag_bandpower_5_20Hz|gyro_mag_rms|odom_speed_std|gyro_mag_iqr|gx_iqr|gz_iqr|gz_min|acc_mag_spectral_energy|gx_spectral_centroid|gyro_mag_range|ax_energy|az_energy|gyro_mag_spectral_centroid|ax_hjorth_complexity
log_20260326_120021.508,25,gz_spectral_centroid|gx_spectral_centroid|gz_bandpower_1_5Hz|az_hjorth_complexity|acc_mag_energy|ay_jerk_rms|gx_hjorth_complexity|ay_energy|ay_hjorth_complexity|gx_bandpower_5_20Hz|gx_bandpower_1_5Hz|gx_jerk_rms|gyro_mag_spectral_centroid|acc_mag_spectral_energy|gyro_mag_bandpower_1_5Hz|odom_speed_std|ax_hjorth_complexity|az_spectral_centroid|gz_range|gyro_mag_spectral_energy|gz_min|gz_iqr|gyro_mag_hjorth_complexity|ay_spectral_centroid|odom_distance
