sigma,macro_f1_mean,macro_f1_std,macro_f1_min
0.0,0.8558170631662769,0.2675270303515406,0.45469899126376073
0.1,0.8510416417796678,0.2644629741757957,0.45504399711881227
0.2,0.8450652244110375,0.2616984002174882,0.4544219590421975
0.3,0.8323351461603702,0.2557994169157221,0.45398072720795934
0.4,0.8169523260410677,0.24810202311252233,0.4546246859016268
0.5,0.793161111712105,0.24052044305863712,0.45159558871212113
0.6,0.7738946995153138,0.23542647778763873,0.4490849007454594
0.7,0.7550401922931421,0.23099832680607518,0.445789796416202
0.8,0.7324568807348137,0.2299785499064064,0.44179506389846834
0.9,0.7099763719827346,0.22968287811253146,0.4379260117491336
1.0,0.6893767246776951,0.23229835611327795,0.43274373482057626
1.1,0.6662921596232173,0.23025966483484353,0.4265998138404278
1.2,0.6448472328319295,0.22750958203732016,0.4204300170072708
1.3,0.6182924260975924,0.223984462393659,0.41415442039006134
1.4,0.5963033170410958,0.22356270897346767,0.40855107083009434
1.5,0.5780617467667993,0.22031154369391717,0.40396076629683436
1.6,0.5542943486833094,0.2170961121250342,0.3986091608659109
1.7,0.5292663759415422,0.2092015381153982,0.39208551125024593
1.8,0.5068362660814606,0.20629547244510016,0.38633422613547075
1.9,0.48728644083648737,0.19882516498498568,0.3704242513384976
2.0,0.46990459133221907,0.1896151613382548,0.3554274623378044
