,SVM,LogisticRegression,RandomForest,XGBoost,MLP,CNN
SVM,,0.001132453459135374,0.002677658143597772,0.003963544570655397,0.02013813648012308,0.033456085642214806
LogisticRegression,-0.001132453459135374,,0.001545204684462398,0.0028310911115200232,0.019005683020987707,0.03232363218307943
RandomForest,-0.002677658143597772,-0.001545204684462398,,0.0012858864270576253,0.01746047833652531,0.030778427498617034
XGBoost,-0.003963544570655397,-0.0028310911115200232,-0.0012858864270576253,,0.016174591909467684,0.02949254107155941
MLP,-0.02013813648012308,-0.019005683020987707,-0.01746047833652531,-0.016174591909467684,,0.013317949162091725
CNN,-0.033456085642214806,-0.03232363218307943,-0.030778427498617034,-0.02949254107155941,-0.013317949162091725,
