Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag
dry_dirt_track,0.9725274725274725,0.027472527472527486,0.971539362013462,0.008852794849282974,0.9719441445068722,0.01815486539411798,0.9719441445068722,0.9537892791127541,0.9900990099009901,2,WARN
grass,0.963692241166296,0.06038119977367755,0.9901960784313726,0.0169808902702831,0.9755111555111555,0.03059912826197122,0.9889010989010989,0.9242424242424242,1.0,4,
smooth_terrain,1.0,0.0,0.9551990493166964,0.04046655539077185,0.9766450299096348,0.021319804150642947,0.9814814814814815,0.9484536082474226,1.0,3,WARN
