config,hidden_dims,dropout,lr,weight_decay,macro_f1_mean,macro_f1_std,macro_f1_median,worst_fold_macro_f1,robustness_score,accuracy_mean,evaluable_folds
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,0.9709519268343896,0.022002078059622527,0.9800085850653272,0.933790537206904,0.9599508878045783,0.9634632804460901,4.0
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,0.9722318456150643,0.026375295485070692,0.981248321981615,0.928893792684219,0.9590441978725289,0.9687777191852474,4.0
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,0.9597379030074458,0.026174395953274917,0.9570306787102383,0.9323529411764706,0.9466507050308083,0.9415609541943271,4.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,0.9536279255518996,0.021980944307299778,0.9526157155863234,0.9270467684968805,0.9426374533982497,0.9332787717123817,4.0
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,0.9557790941571267,0.03259735770975889,0.9670813371258538,0.9015165164471505,0.9394804153022472,0.945862693750957,4.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,0.9516377121533821,0.026179327080485714,0.9451801862115263,0.9261904761904762,0.9385480486131392,0.9315361250749514,4.0
