model,2026-02-26,2026-03-26
CNN,1.0,0.9919048508624448
LogisticRegression,0.9883720930232558,0.9925373134328358
MLP,0.9698795180722892,0.99
RandomForest,0.9954128440366972,0.99
SVM,0.9942528735632185,0.995049504950495
XGBoost,0.9907407407407408,0.9822335025380712
