Model,Config,F1 mean,95% CI margin,F1 std,Worst fold F1,Folds
SVM,"top_mi, balanced",0.9855880912107416,0.030232638526352752,0.018999622068192338,0.9571074673098112,4
LogisticRegression,"top_mi, balanced",0.9844556377516063,0.01969868837957813,0.012379588838229925,0.9660643775034918,4
RandomForest,"top_mi, unweighted",0.9829104330671439,0.032698069607198336,0.020549015738559887,0.9522782843802844,4
XGBoost,"top_mi, unweighted",0.9816245466400862,0.02341261418393935,0.014713595729843536,0.9606575529227672,4
MLP,top_mi,0.9654499547306186,0.058486990919637404,0.036755995425615466,0.9121608270583624,4
CNN,raw signal (5 ch),0.9521320055685268,0.08105093834118941,0.05093624876348945,0.902403040760715,4
Dummy (stratified),-,0.3470702796240295,0.20136226443190636,0.1265455848210802,0.2071022980005924,4
Dummy (most_frequent),-,0.038338658146964855,0.12201072096934343,0.07667731629392971,0.0,4
