model,imbalance,macro_f1_mean_B_3class_lowspeed,macro_f1_std,worst_fold_macro_f1,robustness_score,macro_f1_mean_A_3class_multispeed,delta_macro_f1_lowspeed_minus_multispeed
LogisticRegression,balanced,0.9702392370227346,0.02061429650833656,0.9398349958334484,0.9599320887685664,0.9671478646675437,0.003091372355190969
LogisticRegression,unweighted,0.9683968806827468,0.021419355502621352,0.9349431081585925,0.957687202931436,0.9632793590473064,0.005117521635440325
RandomForest,balanced,0.977830005741325,0.01978893287350819,0.9439509247728427,0.9679355393045709,0.9520667867017768,0.025763219039548146
RandomForest,unweighted,0.9792132787816337,0.021443173432870846,0.9421617705342004,0.9684916920651983,0.9600859247321564,0.019127354049477296
SVM,balanced,0.958247296811195,0.03357918936842583,0.9049347060306072,0.9414577021269821,0.9464031940017612,0.01184410280943382
SVM,unweighted,0.9519804384064621,0.033616014003077774,0.8994595624319276,0.9351724314049232,0.9452588191429164,0.006721619263545642
XGBoost,balanced,0.978828538997886,0.013694313881384665,0.9556887608679502,0.9719813820571936,0.9579900339268784,0.020838505071007596
XGBoost,unweighted,0.9809701102498279,0.014337739802760053,0.9574844976257428,0.973801240348448,0.9559342119254476,0.025035898324380357
