Condition,Mode,n_features,F1 mean,F1 CI95 margin,Delta F1,Worst fold F1
All features (baseline),baseline,141,0.8422281010834147,0.06715039268308874,0.0,0.7921291671291671
Accelerometer — test-time zero,test-time zero,141,0.5146425628621693,0.1405752116750993,-0.3275855382212455,0.3432145485125617
Accelerometer — full ablation,train+test remove,68,0.8184196941049702,0.07770827108380955,-0.023808406978444552,0.757031137722617
Gyroscope — test-time zero,test-time zero,141,0.5789916623511593,0.1736744207535031,-0.26323643873225544,0.40120409460477174
Gyroscope — full ablation,train+test remove,85,0.8371289387973239,0.06237096100143522,-0.005099162286090864,0.7899165972695386
Odometry — test-time zero,test-time zero,141,0.8409612320873275,0.06707261697582241,-0.0012668689960871893,0.795103517731255
Odometry — full ablation,train+test remove,138,0.8426945145478959,0.070030062147237,0.0004664134644811746,0.7978757474409649
