sigma,macro_f1_mean,macro_f1_std,macro_f1_min
0.0,0.842228101083415,0.05408096939287199,0.7921291671291673
0.1,0.838374674515047,0.05354646670937172,0.7861305656505705
0.2,0.8340982132851062,0.052515339550184906,0.7888663845422326
0.3,0.8307884585670722,0.054337104260739316,0.7781814941185068
0.4,0.8241248951666147,0.05752280332597194,0.767709191754919
0.5,0.8153094542029518,0.058564756899641184,0.7523317607494371
0.6,0.8068844292890152,0.0630846464196327,0.7416537976991832
0.7,0.7933523396338794,0.06517087447824024,0.7305409409316032
0.8,0.779901583636023,0.06816575742163387,0.7128986959692373
0.9,0.7648607529929163,0.07290914457654117,0.693524230733055
1.0,0.7515549767347269,0.07609548067418606,0.6808849071324086
1.1,0.7369858156704778,0.08157577920219117,0.6636227148140909
1.2,0.7192684744472635,0.08508562144991759,0.6407808638390693
1.3,0.7005156025027856,0.08313695551345508,0.6233254658926469
1.4,0.6834372124388091,0.08355427858924637,0.6070116083719144
1.5,0.6648825074751585,0.08267488289441174,0.5924166572455818
1.6,0.6476868426408553,0.0799428838825092,0.5766972800534841
1.7,0.6338454381594352,0.0746721383556909,0.5663708088374639
1.8,0.6187291588212568,0.07378526077050274,0.5515246480122574
1.9,0.6035801108389233,0.07069428803059544,0.5376413388578164
2.0,0.59052419289734,0.06776694792406777,0.52353058291985
