feature_set,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
all,0.876709078275972,0.049099809850752706,0.857566765578635,0.03307435319710983,0.8179012345679012,0.8399803431828197,0.06348615869837879,0.840539902730166,0.04938304058339027,0.7463134412849782,0.8082372638336303,5.0
all_no_speed,0.8714296670236841,0.05198522219037519,0.8672985781990521,0.051729337938415165,0.8055555555555556,0.8355068873515041,0.05666152149567776,0.8157446829134608,0.0719801298526519,0.7715015237624577,0.8071761266036652,5.0
top_mi,0.8384760958066554,0.07996433902941423,0.8011869436201781,0.10397016548830695,0.7314814814814815,0.7956578394467327,0.09075914703504435,0.7743212288899554,0.17935024461678073,0.6971013080120881,0.7502782659292105,5.0
