Model,Config,F1 mean,95% CI margin,F1 std,Worst fold F1,Folds
SVM,"all, unweighted",0.8656399272038827,0.07521208536010265,0.06057362174381086,0.8125123195053524,5
LogisticRegression,"all, unweighted",0.8654452674322812,0.08369322546884439,0.06740408483286785,0.7859161237083699,5
XGBoost,"all, balanced",0.8609431641492463,0.060453642147980234,0.048687601666340216,0.8234072119455752,5
CNN,raw signal (5 ch),0.8492892566027515,0.10030309331928738,0.08078118836044973,0.7212665464817841,5
MLP,all,0.8399803431828197,0.08813291728296205,0.07097968323995726,0.7463134412849782,5
RandomForest,"all, unweighted",0.8395996220564932,0.05879438709114174,0.04735128599701354,0.7937262829747538,5
Dummy (stratified),-,0.31995225535607674,0.01277792362882941,0.010290967320719949,0.3050379251406219,5
Dummy (most_frequent),-,0.20791657957309712,0.04471421621282771,0.036011526691208655,0.16434108527131783,5
