,SVM,LogisticRegression,XGBoost,RandomForest,MLP,CNN
SVM,,0.00019465977160149084,0.004696763054636399,0.02604030514738953,0.025659584021063053,0.016350670601131267
LogisticRegression,-0.00019465977160149084,,0.004502103283034908,0.02584564537578804,0.025464924249461562,0.016156010829529777
XGBoost,-0.004696763054636399,-0.004502103283034908,,0.02134354209275313,0.020962820966426654,0.011653907546494868
RandomForest,-0.02604030514738953,-0.02584564537578804,-0.02134354209275313,,-0.0003807211263264776,-0.009689634546258263
MLP,-0.025659584021063053,-0.025464924249461562,-0.020962820966426654,0.0003807211263264776,,-0.009308913419931786
CNN,-0.016350670601131267,-0.016156010829529777,-0.011653907546494868,0.009689634546258263,0.009308913419931786,
