Model,Feature set,Macro F1 mean,Macro F1 std,Worst fold F1,Robustness score,Accuracy mean
08 Tuned  [XGBoost,all,0.8609431641492463,0.0435475147949475,0.8234072119455752,0.8391694067517725,0.8913567032964839
07 Baseline  [SVM,all,0.8646254325369733,0.0559433458125259,0.8052873217110205,0.8366537596307103,0.8963419263687811
09 MLP HP-tuned,all,0.8522068478720939,0.05611466567563618,0.7709120458627042,0.8241495150342758,0.8893640326819625
09 MLP baseline,all,0.8399803431828197,0.06348615869837879,0.7463134412849782,0.8082372638336303,0.876709078275972
09 MLP baseline,all_no_speed,0.8355068873515041,0.05666152149567776,0.7715015237624577,0.8071761266036652,0.8714296670236841
07 Baseline  [LogisticRegression,top_mi,0.8319936818668614,0.0621463657186143,0.7615916155614024,0.8009204990075542,0.868934982137934
08 Tuned  [LogisticRegression,top_mi,0.810082838773942,0.0713850667376569,0.7346652717799205,0.7743903054051136,0.847987395111619
09 MLP baseline,top_mi,0.7956578394467327,0.09075914703504435,0.6971013080120881,0.7502782659292105,0.8384760958066554
