config,hidden_dims,dropout,lr,weight_decay,macro_f1_mean,macro_f1_std,macro_f1_median,worst_fold_macro_f1,robustness_score,accuracy_mean,evaluable_folds
128-64     | drop=0.3 | lr=1e-3 | wd=1e-4,"[128, 64]",0.3,0.001,0.0001,0.8522068478720939,0.05611466567563618,0.8376817372277393,0.7709120458627042,0.8241495150342758,0.8893640326819625,5.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-3,"[256, 128, 64]",0.3,0.001,0.001,0.8496187011536209,0.06176668231904526,0.8505665874086926,0.7645010899017698,0.8187353599940983,0.8835297791494259,5.0
256-128-64 | drop=0.3 | lr=5e-4 | wd=1e-4,"[256, 128, 64]",0.3,0.0005,0.0001,0.8465546269323937,0.05888852060850682,0.8449749434447832,0.7760615973358808,0.8171103666281403,0.8809172509496157,5.0
256-128-64 | drop=0.5 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.5,0.001,0.0001,0.8464951500790381,0.062143900345358695,0.830638963862648,0.7629495498896622,0.8154231999063587,0.8799844140251128,5.0
256-128-64 | drop=0.3 | lr=1e-3 | wd=1e-4,"[256, 128, 64]",0.3,0.001,0.0001,0.8414238457880847,0.052589048650552236,0.8431932552113549,0.7735655072505899,0.8151293214628086,0.8788128735302605,5.0
512-256-128 | drop=0.3 | lr=1e-3 | wd=1e-4,"[512, 256, 128]",0.3,0.001,0.0001,0.822290781562641,0.06648367252688024,0.8469685466049102,0.7278354467349771,0.7890489452992009,0.8579726371957606,5.0
