Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag,Confound
cobblestone,0.6689189189189189,0.3310810810810811,0.3456994730579636,0.32997620261771204,0.24070510138621595,0.2097453490642345,0.24070510138621595,0.030959752321981424,0.45045045045045046,2,WARN,speed ⚡
dry_dirt_track,0.9399691071980228,0.03233858510966947,0.8389997245504269,0.03696926769763509,0.8852586734259998,0.006260064246583985,0.8852586734259998,0.8789986091794159,0.8915187376725838,2,WARN,
grass,0.8160810937591213,0.1583754552882458,0.9595351043643264,0.03436172777809323,0.8705282879943674,0.08259211705291117,0.8707482993197279,0.7428571428571429,0.964824120603015,5,,
muddy_dirt_track,1.0,0.0,0.29622310057092666,0.22551602986385594,0.40889487870619945,0.27681940700808627,0.40889487870619945,0.1320754716981132,0.6857142857142857,2,WARN,
smooth_terrain,0.9487001579715517,0.035701770745941865,0.9463272041489864,0.06563014186153865,0.9456162959575188,0.0346184093826299,0.9507389162561576,0.8839285714285714,0.9879518072289156,5,,
