Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,f1_median,f1_min,f1_max,folds_evaluated,Flag,Confound
cobblestone,0.6323529411764706,0.36764705882352944,0.2526772055073942,0.23380928097909232,0.18994708994708995,0.1529100529100529,0.18994708994708995,0.037037037037037035,0.34285714285714286,2,WARN,speed ⚡
dry_dirt_track,0.9390329012961116,0.049202392821535434,0.8333726832723409,0.019419194900247905,0.8828668821498307,0.03266445300003307,0.8828668821498307,0.8502024291497976,0.9155313351498637,2,WARN,
grass,0.8244028558030031,0.18009145198055454,0.9327681647890376,0.026112286502052297,0.8652414253283036,0.1174034134289846,0.8985507246376812,0.6666666666666666,0.9900990099009901,5,,
muddy_dirt_track,0.8411764705882353,0.04117647058823526,0.3664909969257795,0.28568291611769875,0.44839449541284404,0.30160550458715596,0.44839449541284404,0.14678899082568808,0.75,2,WARN,
smooth_terrain,0.9696413925939604,0.030730633080010436,0.9506814772386329,0.05180462546427981,0.9587546263044022,0.026128005545335207,0.9698795180722891,0.911504424778761,0.9875311720698254,5,,
