Condition,Mode,n_features,F1 mean,F1 CI95 margin,Delta F1,Worst fold F1
All features (baseline),baseline,123,0.7490541364491311,0.1465624102125189,0.0,0.6094994207670265
Accelerometer — test-time zero,test-time zero,123,0.6313955045652714,0.23111301914175605,-0.11765863188385972,0.320265780730897
Accelerometer — full ablation,train+test remove,62,0.7430665070182253,0.14568932031086362,-0.005987629430905805,0.6202699261522792
Gyroscope — test-time zero,test-time zero,123,0.36195732158516125,0.1908165749573323,-0.38709681486396985,0.11566717999818824
Gyroscope — full ablation,train+test remove,72,0.6852973755237228,0.1837590527674561,-0.06375676092540827,0.5574043787501598
Odometry — test-time zero,test-time zero,123,0.7384430835101023,0.16317673291382614,-0.010611052939028753,0.554910612151518
Odometry — full ablation,train+test remove,120,0.7444262808872699,0.148114585401778,-0.004627855561861183,0.5975327243619927
