sigma,macro_f1_mean,macro_f1_std,macro_f1_min
0.0,0.7490541364491311,0.1180370941128529,0.6094994207670263
0.1,0.7273944752456754,0.11380497162747635,0.5920688012902863
0.2,0.7031193868362448,0.11922872124378721,0.556799617430524
0.3,0.6826320974533707,0.12253910761272205,0.5334673812247963
0.4,0.6590985703076062,0.12578208894189546,0.5116224967477663
0.5,0.6377893784556885,0.1271564861363874,0.49655422270429384
0.6,0.6176845704464682,0.12855933060544106,0.47443273716066636
0.7,0.5983139214312981,0.13158995495757328,0.4495186558878294
0.8,0.57887100658094,0.13202046218833308,0.4254111331007393
0.9,0.5607687219427153,0.1344604047410813,0.40231668758779876
1.0,0.5397652475035922,0.13821990483116392,0.37845329879476225
1.1,0.5247153626330918,0.13792627090436307,0.36354132617902973
1.2,0.5051994675961731,0.1389762558017029,0.3437154365637004
1.3,0.48755801105168295,0.13996264556456428,0.32631649459006573
1.4,0.47137276887508117,0.13961937220598036,0.3131402941487612
1.5,0.45649006250513297,0.13511200435772416,0.30277417164895293
1.6,0.43999775590883905,0.1329541958012698,0.29023453394489085
1.7,0.4248541387951065,0.13219901292934144,0.2745067897664618
1.8,0.4121984348791818,0.13189243295068384,0.26771225554947
1.9,0.399433612462338,0.13159393331337432,0.25563629965763157
2.0,0.38605786177172774,0.13150961791435764,0.2482273410878512
