,LogisticRegression,XGBoost,RandomForest,SVM,MLP,CNN
LogisticRegression,,0.00032279175590765874,0.006476853187399545,0.03700205764058806,-0.0007529047280564471,0.00843838357500315
XGBoost,-0.00032279175590765874,,0.006154061431491886,0.0366792658846804,-0.0010756964839641059,0.008115591819095491
RandomForest,-0.006476853187399545,-0.006154061431491886,,0.030525204453188515,-0.007229757915455992,0.001961530387603605
SVM,-0.03700205764058806,-0.0366792658846804,-0.030525204453188515,,-0.03775496236864451,-0.02856367406558491
MLP,0.0007529047280564471,0.0010756964839641059,0.007229757915455992,0.03775496236864451,,0.009191288303059597
CNN,-0.00843838357500315,-0.008115591819095491,-0.001961530387603605,0.02856367406558491,-0.009191288303059597,
