model,imbalance,macro_f1_mean_A_3class,macro_f1_std,worst_fold_macro_f1,robustness_score,macro_f1_mean_B_3class,delta_macro_f1_A_minus_B
LogisticRegression,balanced,0.9671478646675435,0.029264141131313048,0.9276210975570877,0.952515794101887,0.9702392370227346,-0.00309137235519108
LogisticRegression,unweighted,0.9632793590473063,0.030444001524303155,0.9231543678993335,0.9480573582851548,0.9683968806827468,-0.005117521635440436
RandomForest,balanced,0.9520667867017767,0.03723092921421529,0.9051523075255133,0.9334513220946691,0.977830005741325,-0.025763219039548257
RandomForest,unweighted,0.9600859247321565,0.033060909934532506,0.9203570433215527,0.9435554697648902,0.9792132787816336,-0.019127354049477074
SVM,balanced,0.9464031940017612,0.049214346233932275,0.894938344927081,0.9217960208847951,0.958247296811195,-0.01184410280943382
SVM,unweighted,0.9452588191429165,0.049186902962502166,0.8928981589245382,0.9206653676616654,0.951980438406462,-0.00672161926354542
XGBoost,balanced,0.9579900339268784,0.04015034161587607,0.9088644305373291,0.9379148631189403,0.978828538997886,-0.020838505071007596
XGBoost,unweighted,0.9559342119254477,0.04223524647614153,0.9042461908461804,0.9348165886873769,0.980970110249828,-0.025035898324380357
