Class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,folds_evaluated,Flag,Confound
cobblestone,0.7416666666666667,0.2583333333333333,0.4013258541560428,0.38245792962774094,0.317487590683467,0.2804505536464299,2,WARN,speed C
dry_dirt_track,0.9511072871464911,0.01208289690258868,0.8461515759650573,0.049197261244245116,0.8944444444444444,0.022222222222222202,2,WARN,
grass,0.7946619438398205,0.18405511248889167,0.9517810936691392,0.03006316868203693,0.8521327536297193,0.1102052802915937,5,,
muddy_dirt_track,0.9545454545454546,0.04545454545454547,0.3513394817742644,0.3008344312692139,0.4278237585199611,0.3316699123661149,2,WARN,
smooth_terrain,0.9653090511997942,0.03881572433353325,0.9366075958245176,0.050460669929368686,0.9491984128911948,0.025029090473506828,5,,
