model,imbalance,macro_f1_mean_B_3class,macro_f1_std,worst_fold_macro_f1,robustness_score,macro_f1_mean_A_all,delta_macro_f1_B_minus_A
LogisticRegression,balanced,0.9702392370227346,0.02061429650833656,0.9398349958334484,0.9599320887685664,0.7597035809765194,0.21053565604621527
LogisticRegression,unweighted,0.9683968806827468,0.021419355502621352,0.9349431081585925,0.957687202931436,0.7543149637513042,0.21408191693144252
RandomForest,balanced,0.977830005741325,0.01978893287350819,0.9439509247728427,0.9679355393045709,0.748730380821044,0.2290996249202809
RandomForest,unweighted,0.9792132787816337,0.021443173432870846,0.9421617705342004,0.9684916920651983,0.7570680196163925,0.2221452591652412
SVM,balanced,0.958247296811195,0.03357918936842583,0.9049347060306072,0.9414577021269821,0.7274419941956053,0.23080530261558974
SVM,unweighted,0.9519804384064621,0.033616014003077774,0.8994595624319276,0.9351724314049232,0.7214290512071018,0.2305513871993603
XGBoost,balanced,0.978828538997886,0.013694313881384665,0.9556887608679502,0.9719813820571936,0.7679308653789677,0.2108976736189183
XGBoost,unweighted,0.9809701102498279,0.014337739802760053,0.9574844976257428,0.973801240348448,0.7556368304392218,0.22533327981060614
