config,filters,kernels,dropout,lr,weight_decay,batch_size,test_run,accuracy,macro_f1,best_epoch
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,Run1,0.9743589743589743,0.9538302654759736,66
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,Run2,0.9180327868852459,0.8945818250678035,47
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,Run3,0.8605341246290801,0.8480591918042117,16
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,Run4,0.7819905213270142,0.6867805173275795,17
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,Run5,0.8672839506172839,0.8543875271602679,40
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,Run1,0.9692307692307692,0.9455197132616489,62
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,Run2,0.9245901639344263,0.9080070360154994,66
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,Run3,0.8753709198813057,0.8660618038088393,34
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,Run4,0.8672985781990521,0.7740169951141969,14
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,Run5,0.8672839506172839,0.8582465239217575,53
