config,filters,kernels,dropout,lr,weight_decay,batch_size,macro_f1_mean,macro_f1_std,macro_f1_median,worst_fold_macro_f1,robustness_score,accuracy_mean,evaluable_folds
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | bs=32,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,32,0.8703704144243884,0.05746906412957523,0.8660618038088393,0.7740169951141969,0.8416358823596009,0.9007548763725675,5.0
32-64-128 | k=7-5-3 | d=0.3 | lr=5e-4,"[32, 64, 128]","[7, 5, 3]",0.3,0.0005,0.0001,64,0.8579490150784277,0.04604293691769245,0.8403615121789926,0.8017307265977421,0.8349275466195815,0.8910528495023546,5.0
64-128-256 | k=7-5-3 | d=0.3 | lr=1e-3,"[64, 128, 256]","[7, 5, 3]",0.3,0.001,0.0001,64,0.8624686573816778,0.05734179713807824,0.8625412433683907,0.7854524866133819,0.8337977588126386,0.893700998235188,5.0
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.0001,64,0.8623203973212542,0.05935595934225864,0.8526838326035113,0.7804709364841677,0.8326424176501249,0.8949092674389062,5.0
32-64-128 | k=11-7-5 | d=0.3 | lr=1e-3,"[32, 64, 128]","[11, 7, 5]",0.3,0.001,0.0001,64,0.8646718069293551,0.06618775862154612,0.873800213295414,0.7693109776443109,0.8315779276185821,0.8953030744836713,5.0
16-32-64 | k=7-5-3 | d=0.3 | lr=1e-3,"[16, 32, 64]","[7, 5, 3]",0.3,0.001,0.0001,64,0.8544534253352802,0.049801974066782065,0.8458135929020587,0.7761367569778784,0.8295524383018892,0.8899302724593486,5.0
32-64-128 | k=7-5-3 | d=0.5 | lr=1e-3,"[32, 64, 128]","[7, 5, 3]",0.5,0.001,0.0001,64,0.8570425221708676,0.08148927733147779,0.8432255785196962,0.7273972352919721,0.8162978835051288,0.8860834523349215,5.0
32-64-128 | k=7-5-3 | d=0.3 | lr=1e-3 | wd=1e-3,"[32, 64, 128]","[7, 5, 3]",0.3,0.001,0.001,64,0.8475278653671673,0.08877085395765957,0.8543875271602679,0.6867805173275795,0.8031424383883375,0.8804400715635197,5.0
