test_run,n_train,n_val,n_test,accuracy,macro_f1,best_epoch,early_stopped
Run1,1179,209,195,0.9692307692307692,0.9455197132616489,62,True
Run2,1086,192,305,0.8918032786885246,0.8672600120243364,42,True
Run3,1059,187,337,0.8605341246290801,0.8520877360705031,38,True
Run4,986,175,422,0.8127962085308057,0.7212665464817841,12,True
Run5,1070,189,324,0.8703703703703703,0.8603122751754846,26,True
