model,feature_set,imbalance,accuracy_mean,accuracy_std,accuracy_median,accuracy_iqr,worst_fold_accuracy,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_iqr,worst_fold_macro_f1,robustness_score,evaluable_folds
XGBoost,top_mi,unweighted,0.8539136502039757,0.06861077495314742,0.8744075829383886,0.05641873814272513,0.7469135802469136,0.8110957092537578,0.0691976105826657,0.7975406653472811,0.06342956607882955,0.7104449198631109,0.776496903962425,5.0
RandomForest,top_mi,unweighted,0.8555607520781316,0.0655274343650015,0.8655737704918033,0.05007945771864941,0.7592592592592593,0.8115804290300085,0.07027044109796922,0.7973413278970299,0.062225815281645835,0.7162701840953266,0.7764452084810238,5.0
RandomForest,top_mi,balanced,0.8516730839112187,0.06462408825321565,0.8524590163934426,0.060753512312430535,0.7592592592592593,0.8063994181122848,0.0667430998554349,0.7916668495590703,0.042352487581021836,0.7141101877849941,0.7730278681845674,5.0
SVM,top_mi,unweighted,0.8470322150763632,0.06348611809065444,0.8622950819672132,0.08805743457043613,0.7685185185185185,0.7997798281230292,0.060083188401396745,0.7787782191374167,0.07093093574335896,0.7293291881819121,0.7697382339223308,5.0
SVM,top_mi,balanced,0.84100189724324,0.07299442537305718,0.8483412322274881,0.11435520747190742,0.7438271604938271,0.8009913891264269,0.0692363071136898,0.7595166126187269,0.11588780885497141,0.7258406306259068,0.7663732355695819,5.0
SVM,speed_only,balanced,0.5267371844506534,0.06568511499269715,0.5023696682464455,0.02557973403670738,0.4819672131147541,0.49936535146361977,0.05363817544684485,0.4669650935010962,0.04749572663767171,0.4533939856519434,0.47254626374019737,5.0
XGBoost,speed_only,balanced,0.4624958835722904,0.03330491304299582,0.44807121661721067,0.005075770873559204,0.4360655737704918,0.4415950490034211,0.027103871892945646,0.43323200601545436,0.010922496434209783,0.4160437343023779,0.4280431130569483,5.0
XGBoost,speed_only,unweighted,0.4685969650133009,0.039665869021762175,0.4688427299703264,0.027119536598209593,0.419672131147541,0.4401624459218619,0.035325402271829294,0.43164179168299394,0.027773079968606063,0.39831975525372476,0.4224997447859472,5.0
RandomForest,speed_only,unweighted,0.4692142910599311,0.03860776379871713,0.46208530805687204,0.03947320218339012,0.42950819672131146,0.4348182966562312,0.027064754763181646,0.42036000091516895,0.040900406033775594,0.4083639471040743,0.4212859192746404,5.0
SVM,speed_only,unweighted,0.5361499237893691,0.09831745864321904,0.5016393442622951,0.05007242606213169,0.42592592592592593,0.45981549765952623,0.0838854232057482,0.4319596780260288,0.030261473599809796,0.37258203786542116,0.4178727860566521,5.0
RandomForest,speed_only,balanced,0.4614609466667379,0.052862909886544567,0.44075829383886256,0.04588416309484561,0.4098360655737705,0.42605899825281923,0.04294392893439024,0.4033061138747726,0.044628141267474275,0.38552980921948826,0.4045870337856241,5.0
LogisticRegression,speed_only,balanced,0.42031470087500555,0.048642194674939396,0.4459016393442623,0.08895666190423857,0.35308056872037913,0.41513001404005756,0.05001201353549867,0.4453720434625886,0.0851181374766331,0.3413167009781508,0.3901240072723082,5.0
LogisticRegression,speed_only,unweighted,0.5164097389316569,0.08897999776677937,0.47393364928909953,0.12507661623777794,0.43209876543209874,0.38594516252166444,0.053555065013505106,0.37308921572880965,0.0862682098025247,0.33045799958923805,0.35916763001491187,5.0
