model,feature_set,imbalance,test_run,n_test,n_features,accuracy,macro_f1,degenerate_classes
RandomForest,top_mi,balanced,Run5,324,25,0.7592592592592593,0.7141101877849941,None
XGBoost,top_mi,unweighted,Run5,324,25,0.7469135802469136,0.7104449198631109,None
XGBoost,top_mi,balanced,Run5,324,25,0.7685185185185185,0.7365907518101539,None
SVM,top_mi,unweighted,Run5,324,25,0.7685185185185185,0.7293291881819121,None
SVM,top_mi,balanced,Run5,324,25,0.7438271604938271,0.7258406306259068,None
LogisticRegression,all_no_speed,unweighted,Run1,195,138,0.9794871794871794,0.9664449112978525,None
LogisticRegression,all_no_speed,balanced,Run1,195,138,0.9743589743589743,0.9574327976804757,None
RandomForest,all_no_speed,unweighted,Run1,195,138,0.9538461538461539,0.9212618161899351,None
RandomForest,all_no_speed,balanced,Run1,195,138,0.958974358974359,0.9275386826315101,None
XGBoost,all_no_speed,unweighted,Run1,195,138,0.9692307692307692,0.9485317237680105,None
XGBoost,all_no_speed,balanced,Run1,195,138,0.9692307692307692,0.9485317237680105,None
SVM,all_no_speed,unweighted,Run1,195,138,0.9743589743589743,0.9584501610634727,None
SVM,all_no_speed,balanced,Run1,195,138,0.9743589743589743,0.9584501610634727,None
LogisticRegression,all_no_speed,unweighted,Run2,305,138,0.8688524590163934,0.8370760124721391,None
LogisticRegression,all_no_speed,balanced,Run2,305,138,0.8852459016393442,0.8545152922469453,None
RandomForest,all_no_speed,unweighted,Run2,305,138,0.8590163934426229,0.8311929237389433,None
RandomForest,all_no_speed,balanced,Run2,305,138,0.8721311475409836,0.8473676710697365,None
XGBoost,all_no_speed,unweighted,Run2,305,138,0.9049180327868852,0.8834130253732626,None
XGBoost,all_no_speed,balanced,Run2,305,138,0.8950819672131147,0.8723512450568296,None
SVM,all_no_speed,unweighted,Run2,305,138,0.9081967213114754,0.8837804835195726,None
SVM,all_no_speed,balanced,Run2,305,138,0.9114754098360656,0.8911751009291419,None
LogisticRegression,all_no_speed,unweighted,Run3,337,138,0.857566765578635,0.8413383826259523,None
LogisticRegression,all_no_speed,balanced,Run3,337,138,0.8516320474777448,0.8359188810693827,None
RandomForest,all_no_speed,unweighted,Run3,337,138,0.8189910979228486,0.7975406653472811,None
RandomForest,all_no_speed,balanced,Run3,337,138,0.8219584569732937,0.8010025651679893,None
XGBoost,all_no_speed,unweighted,Run3,337,138,0.8338278931750742,0.8195191873898103,None
XGBoost,all_no_speed,balanced,Run3,337,138,0.8338278931750742,0.8192655357289503,None
SVM,all_no_speed,unweighted,Run3,337,138,0.8635014836795252,0.8503254975383122,None
SVM,all_no_speed,balanced,Run3,337,138,0.8694362017804155,0.8587554440770723,None
LogisticRegression,all_no_speed,unweighted,Run4,422,138,0.8625592417061612,0.7591319371527382,None
LogisticRegression,all_no_speed,balanced,Run4,422,138,0.8601895734597157,0.7568469040337007,None
RandomForest,all_no_speed,unweighted,Run4,422,138,0.9218009478672986,0.834136074568936,None
RandomForest,all_no_speed,balanced,Run4,422,138,0.919431279620853,0.8282311456101711,None
XGBoost,all_no_speed,unweighted,Run4,422,138,0.9146919431279621,0.8258049215109384,None
XGBoost,all_no_speed,balanced,Run4,422,138,0.9123222748815166,0.8240663615021614,None
SVM,all_no_speed,unweighted,Run4,422,138,0.9146919431279621,0.8191748933335972,None
SVM,all_no_speed,balanced,Run4,422,138,0.9123222748815166,0.8156227099867063,None
LogisticRegression,all_no_speed,unweighted,Run5,324,138,0.8765432098765432,0.865608455916826,None
LogisticRegression,all_no_speed,balanced,Run5,324,138,0.8796296296296297,0.8710177184254168,None
RandomForest,all_no_speed,unweighted,Run5,324,138,0.8271604938271605,0.8123137972146917,None
RandomForest,all_no_speed,balanced,Run5,324,138,0.8117283950617284,0.7911827000748497,None
XGBoost,all_no_speed,unweighted,Run5,324,138,0.8240740740740741,0.8113970878221247,None
XGBoost,all_no_speed,balanced,Run5,324,138,0.8333333333333334,0.8234072119455752,None
SVM,all_no_speed,unweighted,Run5,324,138,0.8395061728395061,0.8235875194079529,None
SVM,all_no_speed,balanced,Run5,324,138,0.8271604938271605,0.8149858313811581,None
LogisticRegression,speed_only,unweighted,Run1,195,3,0.6666666666666666,0.4710083283217612,None
LogisticRegression,speed_only,balanced,Run1,195,3,0.4717948717948718,0.45447562146591264,None
RandomForest,speed_only,unweighted,Run1,195,3,0.5384615384615384,0.47855855855855856,None
RandomForest,speed_only,balanced,Run1,195,3,0.558974358974359,0.5033069014780819,None
XGBoost,speed_only,unweighted,Run1,195,3,0.5384615384615384,0.5030287626551446,None
XGBoost,speed_only,balanced,Run1,195,3,0.5282051282051282,0.4937837695629154,None
SVM,speed_only,unweighted,Run1,195,3,0.717948717948718,0.6190783807062877,None
SVM,speed_only,balanced,Run1,195,3,0.6564102564102564,0.5987323537885335,None
LogisticRegression,speed_only,unweighted,Run2,305,3,0.5672131147540984,0.4207192393855191,None
LogisticRegression,speed_only,balanced,Run2,305,3,0.4459016393442623,0.4453720434625886,None
RandomForest,speed_only,unweighted,Run2,305,3,0.42950819672131146,0.4083639471040743,None
RandomForest,speed_only,balanced,Run2,305,3,0.4098360655737705,0.38552980921948826,None
XGBoost,speed_only,unweighted,Run2,305,3,0.419672131147541,0.39831975525372476,None
XGBoost,speed_only,balanced,Run2,305,3,0.4360655737704918,0.42699661935107397,None
SVM,speed_only,unweighted,Run2,305,3,0.5016393442622951,0.4528594326498518,None
SVM,speed_only,balanced,Run2,305,3,0.4819672131147541,0.4669650935010962,None
LogisticRegression,speed_only,unweighted,Run3,337,3,0.4421364985163205,0.3344510295829944,None
LogisticRegression,speed_only,balanced,Run3,337,3,0.37091988130563797,0.36935748398927953,None
RandomForest,speed_only,unweighted,Run3,337,3,0.47774480712166173,0.4538546913685648,None
RandomForest,speed_only,balanced,Run3,337,3,0.47181008902077154,0.44139015397961395,None
XGBoost,speed_only,unweighted,Run3,337,3,0.4688427299703264,0.4477974999930261,None
XGBoost,speed_only,balanced,Run3,337,3,0.44807121661721067,0.43323200601545436,None
SVM,speed_only,unweighted,Run3,337,3,0.49258160237388726,0.422597959050042,None
SVM,speed_only,balanced,Run3,337,3,0.4836795252225519,0.46511979886942717,None
LogisticRegression,speed_only,unweighted,Run4,422,3,0.47393364928909953,0.33045799958923805,None
LogisticRegression,speed_only,balanced,Run4,422,3,0.35308056872037913,0.3413167009781508,None
RandomForest,speed_only,unweighted,Run4,422,3,0.46208530805687204,0.41295428533478923,None
RandomForest,speed_only,balanced,Run4,422,3,0.44075829383886256,0.3967620127121397,None
XGBoost,speed_only,unweighted,Run4,422,3,0.471563981042654,0.43164179168299394,None
XGBoost,speed_only,balanced,Run4,422,3,0.45260663507109006,0.4160437343023779,None
SVM,speed_only,unweighted,Run4,422,3,0.542654028436019,0.4319596780260288,None
SVM,speed_only,balanced,Run4,422,3,0.5023696682464455,0.4533939856519434,None
LogisticRegression,speed_only,unweighted,Run5,324,3,0.43209876543209874,0.37308921572880965,None
LogisticRegression,speed_only,balanced,Run5,324,3,0.45987654320987653,0.46512822030435613,None
RandomForest,speed_only,unweighted,Run5,324,3,0.4382716049382716,0.42036000091516895,None
RandomForest,speed_only,balanced,Run5,324,3,0.42592592592592593,0.4033061138747726,None
XGBoost,speed_only,unweighted,Run5,324,3,0.4444444444444444,0.42002442002442003,None
XGBoost,speed_only,balanced,Run5,324,3,0.44753086419753085,0.43791911578528375,None
SVM,speed_only,unweighted,Run5,324,3,0.42592592592592593,0.37258203786542116,None
SVM,speed_only,balanced,Run5,324,3,0.5092592592592593,0.5126155255070989,None
