model,2026-04-21,2026-04-28
SVM,0.9266985905354581,0.8249341516494991
LogisticRegression,0.9181452488482635,0.830311946488293
XGBoost,0.9080605695112767,0.8295315605745595
CNN,0.9063898626429927,0.8112221859092573
MLP,0.9007659768997321,0.7994565873715448
RandomForest,0.8721767029407097,0.8178815681336823
